id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type
river-of-the-silent-rocks,River of the silent rocks,"A rocky riverbed with calm pools reflecting a pale orange and grey sunset sky, winding through silhouetted hills.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/river-of-the-silent-rocks.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
striped-lily-in-the-shade,Striped lily in the shade,"A beautiful white lily flower with distinct red stripes running down each petal, surrounded by long green leaves.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/striped-lily-in-the-shade.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
road-through-the-whispering-pines,Road through the whispering pines,A winding asphalt road curves through a dense forest of tall pine trees under a clear blue sky with white clouds.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/road-through-the-whispering-pines.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
spire-of-the-riverside-temple,Spire of the riverside temple,"A traditional Bhutanese temple structure with a golden roof peak, rising above green and purple trees under a blue sky with white clouds, with mountains in the background.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/spire-of-the-riverside-temple.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
colors-of-the-fortress-roof,Colors of the fortress roof,"An ornate traditional Bhutanese building roof decorated with colorful patterns, set against a deep blue sky with fluffy white clouds and a distant green mountain.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/colors-of-the-fortress-roof.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
gazing-up-at-the-purple-bells,Gazing up at the purple bells,"A vertical shot of a pink foxglove stalk in bloom, reaching up towards a grey sky, with a wooden fence and lantern in the background.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/gazing-up-at-the-purple-bells.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
gathering-storm-over-the-valley,Gathering storm over the valley,"A scenic view of a valley with traditional Bhutanese buildings under a dramatic sky filled with heavy grey storm clouds, with green mountains in the distance.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/gathering-storm-over-the-valley.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
gothic-spire-above-the-canopy,Gothic spire above the canopy,"A majestic colonial-era Gothic revival stone tower rising above lush green trees, set against a pale blue sky.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/gothic-spire-above-the-canopy.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Street
monastery-town-on-the-hill,Monastery town on the hill,"A scenic landscape featuring traditional buildings on a hillside, with thick pine forests and mountains covered by clouds in the background.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/monastery-town-on-the-hill.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
heart-of-the-coral-rose,Heart of the coral rose,A close-up of a blooming coral-pink rose with layers of delicate petals bathed in soft sunlight.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/heart-of-the-coral-rose.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
whispers-of-the-purple-verbena,Whispers of the purple verbena,"A close-up shot of small, delicate purple flowers clustered on thin stems with a soft, out-of-focus background.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/whispers-of-the-purple-verbena.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
punakha-dzong-and-the-jacaranda-bloom,Punakha Dzong and the jacaranda bloom,"A close-up view of the white and red walls of Punakha Dzong fortress, framed by blooming purple jacaranda flowers and green trees.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/punakha-dzong-and-the-jacaranda-bloom.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
pass-through-the-mist-shrouded-hills,Pass through the mist-shrouded hills,A view from a traditional building looking out over a winding mountain highway surrounded by green trees and misty hills in the distance.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/pass-through-the-mist-shrouded-hills.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
lavender-and-pink-in-the-garden,Lavender and pink in the garden,A lush garden bed filled with purple lavender stalks and vibrant pink flowers growing close together.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/lavender-and-pink-in-the-garden.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
where-the-river-curves,Where the river curves,A wide river flowing past a hillside town with traditional buildings and green trees under a cloudy sky.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/where-the-river-curves.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
echoes-of-the-grand-terminal,Echoes of the grand terminal,"A busy Mumbai street scene in front of the historic, grand Gothic-style CSMT railway station building, with yellow-and-black taxis and cars in motion.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/echoes-of-the-grand-terminal.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Street
path-of-the-silent-pines,Path of the silent pines,"A clean, paved path winding up a hillside surrounded by tall, slender pine trees under a cloudy sky.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/path-of-the-silent-pines.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
corridors-of-painted-wood,Corridors of painted wood,Looking up at the beautifully painted wooden pillars and balcony railings of a traditional Bhutanese courtyard under a cloudy sky.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/corridors-of-painted-wood.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
homes-nestled-on-the-pine-slope,Homes nestled on the pine slope,Traditional white buildings nestled on a steep hillside covered in pine trees under a blue sky and bright clouds.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/homes-nestled-on-the-pine-slope.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
abundance-of-the-yellow-roses,Abundance of the yellow roses,"A dense cluster of pale yellow and cream roses in a garden, with green leaves in the background.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/abundance-of-the-yellow-roses.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
fortress-under-the-shadow-of-the-storm,Fortress under the shadow of the storm,"A white fortress with red roofs sits perched on a lush green forested hill, directly under a massive, dark storm cloud.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/fortress-under-the-shadow-of-the-storm.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
under-the-temple-skies,Under the temple skies,"A low-angle shot of a traditional Bhutanese building facade with detailed woodwork, standing against a sky filled with fluffy white and grey clouds.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/under-the-temple-skies.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
stony-shores-of-the-mountain-stream,Stony shores of the mountain stream,"A scenic river with a rocky, stony shoreline and clear flowing water, backed by green forested slopes and a distant mountain peak.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/stony-shores-of-the-mountain-stream.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
red-double-decker-and-the-old-stone-facade,Red double-decker and the old stone facade,"A red double-decker bus and a black-and-yellow taxi on a clean Mumbai street, framed by overhanging trees and a historic heritage building in the background.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/red-double-decker-and-the-old-stone-facade.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Street
river-flowing-through-the-valley-of-clouds,River flowing through the valley of clouds,"A wide river with fast-moving water flowing through a valley, with green hills and low-hanging white clouds in the background.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/river-flowing-through-the-valley-of-clouds.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
meadow-of-the-pink-campion,Meadow of the pink campion,A field of vibrant pink campion flowers growing closely together in green foliage.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/meadow-of-the-pink-campion.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
torrent-of-the-green-hills,Torrent of the green hills,"A rocky, rushing river winds through a valley flanked by steep green hills and dense forests under a bright blue sky.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/torrent-of-the-green-hills.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
gilded-eaves-and-skyward-clouds,Gilded eaves and skyward clouds,A low-angle view of a golden temple spire and ornate roof details against a dramatic cloudy sky.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/gilded-eaves-and-skyward-clouds.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
stream-in-the-shadow-of-the-peaks,Stream in the shadow of the peaks,"A wide, shallow rocky riverbed with mountains in the background and a traditional house tucked among trees on the bank.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/stream-in-the-shadow-of-the-peaks.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
scent-of-the-lavender-stalks,Scent of the lavender stalks,A close-up view of deep purple lavender flower spikes growing in a garden.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/scent-of-the-lavender-stalks.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
sunbeams-over-the-mountain-ridge,Sunbeams over the mountain ridge,"Bright crepuscular rays of sunlight bursting through thick clouds over layered blue mountain ranges, with green trees in the foreground.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/sunbeams-over-the-mountain-ridge.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
twilight-traffic-in-the-valley,Twilight traffic in the valley,"A street in a mountain city at dusk with cars driving, framed by multi-story buildings rising along a hillside under dramatic white clouds.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/twilight-traffic-in-the-valley.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Street
river-path-through-the-pine-valley,River path through the pine valley,A river flowing rapidly through a valley with green pine forests covering a steep hillside on the left and a building complex on the bank.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/river-path-through-the-pine-valley.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
courtyard-of-the-wooden-balconies,Courtyard of the wooden balconies,"Looking up from a stone courtyard inside a traditional Bhutanese fort, showing multi-layered wooden balconies and eaves framing a cloudy sky.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/courtyard-of-the-wooden-balconies.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Architecture
paro-valley-from-above,Paro valley from above,"A high-angle view of a fertile green valley with a river running through it and an airport runway visible, with mountains faded in mist under a cloudy sky.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/paro-valley-from-above.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
hydrangeas-in-royal-violet,Hydrangeas in royal violet,"A cluster of blue-violet hydrangea flowers with delicate petals, surrounded by green foliage.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/hydrangeas-in-royal-violet.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Botanical
winding-road-in-the-deep-fog,Winding road in the deep fog,"A steep, green hillside with a winding road barely visible through thick, dark grey fog and mist.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/winding-road-in-the-deep-fog.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
sanctuary-on-the-edge,Sanctuary on the edge,A detailed view of Tiger's Nest Monastery's white walls and golden roofs perched precariously on a rocky cliff ledge.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/sanctuary-on-the-edge.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
journey-through-the-high-mist,Journey through the high mist,"A white SUV driving on a curving asphalt road along a steep, forested mountain slope under a heavy, overcast foggy sky.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/journey-through-the-high-mist.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
taktsang-on-the-sheer-cliffs,Taktsang on the sheer cliffs,"A wide, vertical shot of the famous Tiger's Nest Monastery built directly onto a massive, steep rocky cliffside surrounded by mountains.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/taktsang-on-the-sheer-cliffs.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
prayer-wheels-over-the-misty-valley,Prayer wheels over the misty valley,"Five colorful prayer wheels hanging in a wooden frame, overlooking a scenic green valley and misty forested hills under an overcast sky.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/prayer-wheels-over-the-misty-valley.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
tigers-nest-in-the-high-mist,Tiger's Nest in the high mist,A closer view of Tiger's Nest Monastery clutching the vertical rock face of a pine-covered cliff under a cloudy sky.,https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/tigers-nest-in-the-high-mist.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
valley-under-the-sky-giants,Valley under the sky giants,"A scenic view of a green mountain valley under a dramatic sky filled with massive, towering white and grey clouds.",https://the-long-light-xi.vercel.app/index.html,https://the-long-light-xi.vercel.app/assets/img/valley-under-the-sky-giants.jpg,49.00 INR,in stock,new,The Long Light,"Home & Garden > Decor > Artwork > Posters, Prints & Visual Artwork",Photography > Landscape
